Invoice_ID,Date,Branch, CITY,Category,Product,Quantity,Unit_Price,Payment_Method,Customer_Type,Gender,Rating,Month,TOTAL_SALES,,,,,
INV038,02-03-2026,C,Nashik,Stationery,Notebook,5,130,Card,Normal,Male,3.1,MAR,650,,,,,
INV039,18-06-2026,E,Nagpur,Stationery,Pen Pack,4,80,UPI,Member,Male,4.4,JUN,320,,,,,
INV040,03-04-2026,C,Nashik,Stationery,Calculator,5,330,Wallet,Normal,Male,4.4,APR,1650,,,,,
INV041,18-04-2026,E,Nagpur,Electronics,Bluetooth Speaker,7,1850,Net Banking,Member,Female,4.0,APR,12950,,,,,
INV042,11-05-2026,B,Pune,Grocery,Biscuits,5,40,UPI,Member,Male,3.8,MAY,200,,,,,
INV043,23-03-2026,B,Pune,Clothing,Jeans,4,1470,UPI,Normal,Female,3.5,MAR,5880,,,,,
INV044,15-02-2026,E,Nagpur,Stationery,Notebook,3,120,UPI,Normal,Female,3.1,FEB,360,,,,,
INV045,11-03-2026,D,Thane,Beauty,Hair Oil,1,220,Card,Member,Male,3.8,MAR,220,,,,,
INV046,02-02-2026,D,Thane,Beauty,Moisturizer,3,450,UPI,Member,Female,3.1,FEB,1350,,,,,
INV047,29-05-2026,B,Pune,Electronics,Bluetooth Speaker,8,1740,Card,Normal,Female,3.4,MAY,13920,,,,,
INV048,25-04-2026,A,Mumbai,Grocery,Biscuits,5,40,Cash,Normal,Male,3.8,APR,200,,,,,
INV049,04-01-2026,B,Pune,Clothing,Kurta,7,850,Net Banking,Member,Male,3.5,JAN,5950,,,,,
INV050,13-06-2026,A,Mumbai,Beauty,Moisturizer,8,430,UPI,Member,Male,4.8,JUN,3440,,,,,
INV051,06-02-2026,A,Mumbai,Clothing,Shirt,3,1050,Card,Member,Female,3.1,FEB,3150,,,,,
INV052,31-05-2026,A,Mumbai,Electronics,USB Cable,4,330,UPI,Normal,Female,3.1,MAY,1320,,,,,
INV053,24-01-2026,E,Nagpur,Grocery,Coffee,4,210,Card,Member,Female,3.9,JAN,840,,,,,
INV054,07-06-2026,B,Pune,Home & Kitchen,Dinner Set,2,1710,Card,Normal,Female,3.8,JUN,3420,,,,,
INV055,17-01-2026,C,Nashik,Home & Kitchen,Bedsheet,3,1080,UPI,Normal,Female,3.5,JAN,3240,,,,,
INV056,12-06-2026,D,Thane,Beauty,Moisturizer,7,410,Cash,Member,Female,4.3,JUN,2870,,,,,
INV057,10-02-2026,E,Nagpur,Home & Kitchen,Bedsheet,2,1080,UPI,Normal,Male,4.7,FEB,2160,,,,,
INV058,01-04-2026,D,Thane,Stationery,Marker Set,1,150,UPI,Member,Female,4.4,APR,150,,,,,
INV059,05-06-2026,D,Thane,Clothing,Shirt,1,1090,Card,Normal,Male,4.3,JUN,1090,,,,,
INV060,06-01-2026,A,Mumbai,Electronics,USB Cable,1,350,Card,Normal,Female,4.3,JAN,350,,,,,
INV061,09-05-2026,E,Nagpur,Grocery,Sugar,1,50,Card,Member,Male,3.3,MAY,50,,,,,
INV062,01-01-2026,C,Nashik,Stationery,Notebook,2,120,UPI,Normal,Male,4.9,JAN,240,,,,,
INV063,07-05-2026,A,Mumbai,Electronics,Earbuds,5,1990,UPI,Normal,Female,4.6,MAY,9950,,,,,
INV064,27-02-2026,A,Mumbai,Home & Kitchen,Mixer Grinder,2,3410,UPI,Normal,Female,3.7,FEB,6820,,,,,
INV065,19-02-2026,C,Nashik,Stationery,File Folder,6,70,Card,Normal,Male,4.5,FEB,420,,,,,
INV066,21-04-2026,D,Thane,Clothing,Track Pants,4,1000,Card,Normal,Male,4.2,APR,4000,,,,,
INV067,01-03-2026,C,Nashik,Grocery,Tea,5,180,UPI,Normal,Female,3.6,MAR,900,,,,,
INV068,09-03-2026,B,Pune,Clothing,Track Pants,5,950,UPI,Member,Female,4.1,MAR,4750,,,,,
INV069,31-01-2026,C,Nashik,Electronics,Mouse,8,830,Cash,Normal,Female,3.4,JAN,6640,,,,,
INV070,03-05-2026,B,Pune,Beauty,Lip Balm,5,190,Wallet,Member,Male,4.4,MAY,950,,,,,
INV071,21-05-2026,E,Nagpur,Electronics,Smart Watch,3,2420,UPI,Normal,Male,4.6,MAY,7260,,,,,
INV072,20-02-2026,A,Mumbai,Home & Kitchen,Storage Box,5,450,UPI,Normal,Male,4.4,FEB,2250,,,,,
INV073,08-04-2026,B,Pune,Electronics,USB Cable,1,360,Cash,Normal,Female,4.5,APR,360,,,,,
INV074,20-03-2026,B,Pune,Beauty,Hair Oil,3,230,Net Banking,Normal,Male,4.8,MAR,690,,,,,
INV075,31-01-2026,D,Thane,Stationery,Pen Pack,8,80,UPI,Member,Male,4.6,JAN,640,,,,,
INV076,02-06-2026,D,Thane,Grocery,Biscuits,6,40,Net Banking,Member,Female,4.0,JUN,240,,,,,
INV077,04-01-2026,C,Nashik,Grocery,Coffee,8,200,Card,Normal,Female,4.5,JAN,1600,,,,,
INV078,09-01-2026,E,Nagpur,Grocery,Pulses,6,110,UPI,Normal,Female,4.9,JAN,660,,,,,
INV079,27-02-2026,D,Thane,Home & Kitchen,Water Bottle,3,490,UPI,Normal,Male,3.8,FEB,1470,,,,,
INV080,27-06-2026,E,Nagpur,Home & Kitchen,Water Bottle,7,480,UPI,Member,Male,4.9,JUN,3360,,,,,
INV081,23-06-2026,E,Nagpur,Home & Kitchen,Cushion,3,560,Cash,Normal,Female,3.6,JUN,1680,,,,,
INV082,21-04-2026,C,Nashik,Home & Kitchen,Water Bottle,6,490,UPI,Normal,Female,4.6,APR,2940,,,,,
INV083,07-01-2026,E,Nagpur,Home & Kitchen,Bedsheet,2,1300,UPI,Member,Male,4.5,JAN,2600,,,,,
INV084,03-04-2026,D,Thane,Home & Kitchen,Mixer Grinder,1,3420,Cash,Member,Female,3.9,APR,3420,,,,,
INV085,14-05-2026,A,Mumbai,Beauty,Body Lotion,3,340,Card,Normal,Male,4.0,MAY,1020,,,,,
INV086,02-03-2026,E,Nagpur,Home & Kitchen,Cooker,2,1630,Net Banking,Normal,Female,4.7,MAR,3260,,,,,
INV087,19-04-2026,C,Nashik,Beauty,Body Lotion,8,340,UPI,Normal,Female,3.2,APR,2720,,,,,
INV088,02-06-2026,D,Thane,Home & Kitchen,Dinner Set,7,1940,Cash,Member,Male,3.7,JUN,13580,,,,,
INV089,19-03-2026,C,Nashik,Stationery,School Bag,5,880,Card,Normal,Female,3.6,MAR,4400,,,,,
INV090,20-01-2026,A,Mumbai,Beauty,Face Wash,3,260,Cash,Member,Male,4.5,JAN,780,,,,,
INV091,11-04-2026,A,Mumbai,Home & Kitchen,Cooker,4,1930,Cash,Member,Male,3.3,APR,7720,,,,,
INV092,03-02-2026,D,Thane,Electronics,Keyboard,3,1170,Card,Normal,Female,3.6,FEB,3510,,,,,
INV093,10-04-2026,C,Nashik,Beauty,Moisturizer,5,440,Net Banking,Member,Female,3.8,APR,2200,,,,,
INV094,08-06-2026,E,Nagpur,Stationery,File Folder,3,70,UPI,Normal,Male,3.4,JUN,210,,,,,
INV095,17-02-2026,E,Nagpur,Home & Kitchen,Cooker,2,1850,UPI,Normal,Male,4.1,FEB,3700,,,,,
INV096,03-01-2026,A,Mumbai,Beauty,Hair Oil,2,200,Cash,Member,Female,4.5,JAN,400,,,,,
INV097,29-04-2026,B,Pune,Clothing,Jacket,2,2300,Wallet,Normal,Female,3.9,APR,4600,,,,,
INV098,20-06-2026,C,Nashik,Home & Kitchen,Frying Pan,1,960,Card,Normal,Female,4.4,JUN,960,,,,,
INV099,30-04-2026,B,Pune,Clothing,Track Pants,1,1060,Card,Normal,Female,3.3,APR,1060,,,,,
INV100,06-06-2026,E,Nagpur,Stationery,Calculator,7,320,Net Banking,Member,Female,3.2,JUN,2240,,,,,
INV101,04-04-2026,B,Pune,Electronics,Keyboard,1,1140,UPI,Member,Female,4.6,APR,1140,,,,,
INV102,26-01-2026,B,Pune,Beauty,Perfume,1,820,Card,Normal,Female,4.3,JAN,820,,,,,
INV103,06-06-2026,A,Mumbai,Clothing,Track Pants,5,910,Wallet,Member,Female,4.7,JUN,4550,,,,,
INV104,08-05-2026,B,Pune,Clothing,Kurta,1,910,UPI,Normal,Female,3.3,MAY,910,,,,,
INV105,02-02-2026,B,Pune,Stationery,School Bag,7,820,UPI,Normal,Male,3.5,FEB,5740,,,,,
INV106,02-01-2026,D,Thane,Stationery,School Bag,2,950,Card,Member,Male,3.4,JAN,1900,,,,,
INV107,15-03-2026,D,Thane,Stationery,Notebook,3,110,UPI,Member,Female,3.0,MAR,330,,,,,
INV108,23-05-2026,C,Nashik,Electronics,USB Cable,4,370,UPI,Normal,Female,3.4,MAY,1480,,,,,
INV109,04-04-2026,A,Mumbai,Grocery,Tea,1,180,UPI,Member,Male,3.4,APR,180,,,,,
INV110,27-03-2026,D,Thane,Clothing,Kurta,4,810,Card,Member,Male,3.2,MAR,3240,,,,,
INV111,29-03-2026,D,Thane,Home & Kitchen,Cooker,1,1720,Card,Normal,Female,3.5,MAR,1720,,,,,
INV112,15-01-2026,B,Pune,Home & Kitchen,Bedsheet,8,1120,Card,Member,Male,3.4,JAN,8960,,,,,
INV113,31-01-2026,B,Pune,Clothing,T-Shirt,1,550,Net Banking,Normal,Male,3.8,JAN,550,,,,,
INV114,03-01-2026,B,Pune,Electronics,Mouse,4,740,UPI,Normal,Male,3.0,JAN,2960,,,,,
INV115,30-01-2026,E,Nagpur,Electronics,USB Cable,2,380,UPI,Normal,Female,3.3,JAN,760,,,,,
INV116,19-02-2026,D,Thane,Home & Kitchen,Mixer Grinder,3,3350,UPI,Member,Female,3.4,FEB,10050,,,,,
INV117,19-05-2026,D,Thane,Home & Kitchen,Mixer Grinder,2,3510,Wallet,Member,Male,3.8,MAY,7020,,,,,
INV118,12-05-2026,C,Nashik,Stationery,Calculator,2,340,Card,Normal,Female,4.8,MAY,680,,,,,
INV119,28-01-2026,A,Mumbai,Clothing,T-Shirt,3,610,UPI,Normal,Male,4.9,JAN,1830,,,,,
INV120,06-04-2026,B,Pune,Beauty,Body Lotion,7,370,Net Banking,Normal,Female,4.0,APR,2590,,,,,
INV121,21-01-2026,B,Pune,Stationery,Pen Pack,5,90,Cash,Member,Female,4.0,JAN,450,,,,,
INV122,14-06-2026,E,Nagpur,Stationery,File Folder,3,70,UPI,Member,Female,4.3,JUN,210,,,,,
INV123,04-03-2026,E,Nagpur,Grocery,Cooking Oil,2,150,Card,Normal,Male,4.4,MAR,300,,,,,
INV124,24-01-2026,A,Mumbai,Home & Kitchen,Dinner Set,7,1850,Net Banking,Normal,Male,3.6,JAN,12950,,,,,
INV125,15-05-2026,A,Mumbai,Electronics,Headphones,7,1360,Cash,Normal,Female,4.3,MAY,9520,,,,,
INV126,21-02-2026,B,Pune,Home & Kitchen,Dinner Set,1,1660,Cash,Normal,Male,4.1,FEB,1660,,,,,
INV127,06-03-2026,D,Thane,Home & Kitchen,Cushion,3,610,UPI,Member,Male,4.8,MAR,1830,,,,,
INV128,27-03-2026,D,Thane,Home & Kitchen,Dinner Set,2,1730,Net Banking,Member,Male,4.6,MAR,3460,,,,,
INV129,16-03-2026,E,Nagpur,Electronics,Earbuds,6,2260,UPI,Member,Female,3.8,MAR,13560,,,,,
INV130,21-02-2026,E,Nagpur,Electronics,Smart Watch,8,2500,Cash,Normal,Male,4.4,FEB,20000,,,,,
INV131,11-06-2026,E,Nagpur,Clothing,Jacket,7,2150,Card,Normal,Female,3.6,JUN,15050,,,,,
INV132,23-05-2026,D,Thane,Clothing,Jacket,1,1990,UPI,Normal,Female,3.6,MAY,1990,,,,,
INV133,01-06-2026,D,Thane,Clothing,Jeans,1,1480,Wallet,Normal,Male,3.4,JUN,1480,,,,,
INV134,15-05-2026,E,Nagpur,Electronics,Bluetooth Speaker,6,1680,Cash,Member,Male,3.6,MAY,10080,,,,,
INV135,14-04-2026,D,Thane,Stationery,Sketch Pens,7,180,UPI,Normal,Male,4.3,APR,1260,,,,,
INV136,19-04-2026,A,Mumbai,Electronics,Mouse,8,740,Card,Member,Male,4.6,APR,5920,,,,,
INV137,26-03-2026,E,Nagpur,Grocery,Coffee,1,230,UPI,Normal,Female,4.0,MAR,230,,,,,
INV138,29-06-2026,D,Thane,Stationery,Marker Set,2,140,UPI,Member,Male,4.9,JUN,280,,,,,
INV139,06-05-2026,C,Nashik,Clothing,Saree,6,1890,Cash,Member,Female,4.0,MAY,11340,,,,,
INV140,20-01-2026,B,Pune,Home & Kitchen,Mixer Grinder,2,3210,UPI,Member,Male,3.6,JAN,6420,,,,,
INV141,05-01-2026,B,Pune,Grocery,Biscuits,4,40,Cash,Member,Female,4.2,JAN,160,,,,,
INV142,29-05-2026,D,Thane,Electronics,Bluetooth Speaker,3,1830,Wallet,Normal,Female,3.6,MAY,5490,,,,,
INV143,10-02-2026,B,Pune,Grocery,Biscuits,2,40,Cash,Member,Male,4.6,FEB,80,,,,,
INV144,06-05-2026,D,Thane,Beauty,Moisturizer,8,490,Cash,Member,Male,3.1,MAY,3920,,,,,
INV145,19-04-2026,B,Pune,Grocery,Wheat Flour,2,60,Card,Member,Male,3.1,APR,120,,,,,
INV146,01-05-2026,E,Nagpur,Clothing,Shirt,4,1150,UPI,Normal,Female,3.3,MAY,4600,,,,,
INV147,02-04-2026,D,Thane,Grocery,Rice,4,90,UPI,Normal,Male,4.9,APR,360,,,,,
INV148,05-03-2026,B,Pune,Clothing,Track Pants,2,1050,Cash,Normal,Female,4.2,MAR,2100,,,,,
INV149,15-03-2026,D,Thane,Grocery,Pulses,6,120,Card,Normal,Female,4.4,MAR,720,,,,,
INV150,06-05-2026,B,Pune,Clothing,Kurta,5,820,Card,Normal,Female,3.3,MAY,4100,,,,,
INV151,21-06-2026,E,Nagpur,Stationery,Pen Pack,5,80,UPI,Member,Female,3.9,JUN,400,,,,,
INV152,21-03-2026,A,Mumbai,Beauty,Face Wash,8,260,UPI,Normal,Female,3.4,MAR,2080,,,,,
INV153,07-03-2026,D,Thane,Stationery,School Bag,8,900,UPI,Normal,Female,4.7,MAR,7200,,,,,
INV154,05-02-2026,A,Mumbai,Stationery,Notebook,4,130,UPI,Member,Male,4.2,FEB,520,,,,,
INV155,12-02-2026,D,Thane,Home & Kitchen,Storage Box,1,470,Net Banking,Normal,Male,3.7,FEB,470,,,,,
INV156,12-01-2026,D,Thane,Home & Kitchen,Storage Box,4,450,Card,Normal,Female,4.2,JAN,1800,,,,,
INV157,12-05-2026,B,Pune,Grocery,Wheat Flour,6,60,UPI,Member,Female,3.8,MAY,360,,,,,
INV158,09-05-2026,C,Nashik,Home & Kitchen,Dinner Set,3,1640,Net Banking,Member,Female,4.9,MAY,4920,,,,,
INV159,03-06-2026,D,Thane,Electronics,USB Cable,2,350,UPI,Normal,Female,4.8,JUN,700,,,,,
INV160,16-05-2026,A,Mumbai,Grocery,Wheat Flour,8,60,Cash,Member,Female,3.1,MAY,480,,,,,
INV161,08-06-2026,B,Pune,Home & Kitchen,Cushion,8,620,UPI,Normal,Female,3.9,JUN,4960,,,,,
INV162,12-05-2026,A,Mumbai,Stationery,Notebook,2,130,UPI,Member,Female,4.5,MAY,260,,,,,
INV163,15-03-2026,D,Thane,Stationery,Sketch Pens,7,170,Card,Normal,Male,3.5,MAR,1190,,,,,
INV164,18-05-2026,E,Nagpur,Home & Kitchen,Frying Pan,1,880,UPI,Normal,Male,4.6,MAY,880,,,,,
INV165,23-03-2026,C,Nashik,Stationery,Notebook,4,120,Cash,Member,Male,4.8,MAR,480,,,,,
INV166,26-06-2026,B,Pune,Electronics,Bluetooth Speaker,8,1930,Cash,Member,Female,4.1,JUN,15440,,,,,
INV167,20-02-2026,C,Nashik,Beauty,Hair Oil,5,210,Cash,Member,Female,3.6,FEB,1050,,,,,
INV168,03-05-2026,A,Mumbai,Grocery,Rice,7,70,Card,Normal,Female,3.8,MAY,490,,,,,
INV169,24-02-2026,A,Mumbai,Home & Kitchen,Cooker,6,1760,UPI,Normal,Male,3.4,FEB,10560,,,,,
INV170,28-05-2026,E,Nagpur,Clothing,Dress,7,1630,Card,Normal,Female,3.9,MAY,11410,,,,,
INV171,05-03-2026,D,Thane,Beauty,Perfume,2,970,Net Banking,Member,Female,3.5,MAR,1940,,,,,
INV172,02-01-2026,D,Thane,Grocery,Coffee,7,230,UPI,Normal,Female,3.6,JAN,1610,,,,,
INV173,10-04-2026,C,Nashik,Grocery,Pulses,6,100,Card,Normal,Male,4.2,APR,600,,,,,
INV174,14-06-2026,C,Nashik,Stationery,Diary,6,270,Cash,Normal,Female,3.7,JUN,1620,,,,,
INV175,17-02-2026,C,Nashik,Grocery,Tea,6,170,UPI,Member,Male,4.4,FEB,1020,,,,,
INV176,02-03-2026,D,Thane,Grocery,Coffee,7,210,Cash,Normal,Male,4.5,MAR,1470,,,,,
INV177,05-02-2026,D,Thane,Home & Kitchen,Water Bottle,7,480,Cash,Normal,Female,4.0,FEB,3360,,,,,
INV178,10-06-2026,A,Mumbai,Home & Kitchen,Mixer Grinder,6,3100,Cash,Normal,Male,3.2,JUN,18600,,,,,
INV179,14-02-2026,C,Nashik,Electronics,Mouse,6,760,UPI,Member,Male,3.4,FEB,4560,,,,,
INV180,04-02-2026,E,Nagpur,Clothing,Jeans,4,1440,UPI,Member,Female,4.5,FEB,5760,,,,,
INV181,12-03-2026,C,Nashik,Clothing,Shirt,4,1010,UPI,Normal,Male,4.7,MAR,4040,,,,,
INV182,04-03-2026,A,Mumbai,Beauty,Shampoo,8,420,Net Banking,Normal,Female,4.4,MAR,3360,,,,,
INV183,20-03-2026,B,Pune,Electronics,Power Bank,5,1030,UPI,Member,Male,3.9,MAR,5150,,,,,
INV184,25-02-2026,B,Pune,Grocery,Cooking Oil,7,150,UPI,Normal,Female,4.5,FEB,1050,,,,,
INV185,12-02-2026,A,Mumbai,Electronics,Smart Watch,1,2490,UPI,Member,Female,4.1,FEB,2490,,,,,
INV186,11-02-2026,D,Thane,Electronics,Earbuds,2,2160,UPI,Member,Male,4.4,FEB,4320,,,,,
INV187,27-04-2026,C,Nashik,Home & Kitchen,Cooker,4,1730,UPI,Member,Male,4.7,APR,6920,,,,,
INV188,02-04-2026,D,Thane,Home & Kitchen,Water Bottle,7,550,UPI,Member,Male,3.3,APR,3850,,,,,
INV189,20-03-2026,C,Nashik,Clothing,Saree,7,1980,UPI,Member,Male,3.7,MAR,13860,,,,,
INV190,18-03-2026,E,Nagpur,Home & Kitchen,Cooker,7,1950,Card,Member,Male,4.7,MAR,13650,,,,,
INV191,06-04-2026,D,Thane,Beauty,Face Wash,1,270,UPI,Member,Male,3.4,APR,270,,,,,
INV192,15-01-2026,E,Nagpur,Stationery,Pen Pack,6,80,UPI,Normal,Female,3.3,JAN,480,,,,,
INV193,01-01-2026,E,Nagpur,Electronics,Mouse,1,820,Net Banking,Normal,Female,3.4,JAN,820,,,,,
INV194,08-02-2026,E,Nagpur,Clothing,Shirt,1,1000,Card,Normal,Female,4.3,FEB,1000,,,,,
INV195,08-01-2026,B,Pune,Beauty,Shampoo,1,360,Cash,Normal,Male,3.4,JAN,360,,,,,
INV196,08-01-2026,E,Nagpur,Clothing,Track Pants,3,990,Card,Member,Female,3.8,JAN,2970,,,,,
INV197,15-01-2026,B,Pune,Grocery,Sugar,1,50,UPI,Member,Male,3.9,JAN,50,,,,,
INV198,18-02-2026,A,Mumbai,Clothing,Track Pants,6,940,UPI,Normal,Female,3.7,FEB,5640,,,,,
INV199,12-01-2026,E,Nagpur,Home & Kitchen,Storage Box,2,480,Card,Normal,Female,4.1,JAN,960,,,,,
INV200,31-05-2026,E,Nagpur,Home & Kitchen,Frying Pan,2,930,Card,Member,Male,3.4,MAY,1860,,,,,
INV201,03-01-2026,B,Pune,Beauty,Moisturizer,4,420,Card,Normal,Female,4.2,JAN,1680,,,,,
INV202,14-01-2026,A,Mumbai,Home & Kitchen,Frying Pan,8,860,Cash,Normal,Male,3.3,JAN,6880,,,,,
INV203,06-01-2026,C,Nashik,Electronics,Headphones,6,1650,UPI,Normal,Male,4.1,JAN,9900,,,,,
INV204,12-05-2026,A,Mumbai,Electronics,Keyboard,1,1140,UPI,Member,Male,3.2,MAY,1140,,,,,
INV205,01-05-2026,C,Nashik,Electronics,USB Cable,3,380,UPI,Normal,Male,3.9,MAY,1140,,,,,
INV206,23-03-2026,B,Pune,Clothing,Jacket,5,2340,Net Banking,Member,Male,3.7,MAR,11700,,,,,
INV207,06-01-2026,B,Pune,Stationery,File Folder,2,70,UPI,Normal,Male,4.8,JAN,140,,,,,
INV208,23-05-2026,B,Pune,Clothing,Shirt,3,1080,UPI,Member,Female,4.9,MAY,3240,,,,,
INV209,08-01-2026,D,Thane,Electronics,Earbuds,6,2330,UPI,Normal,Female,4.4,JAN,13980,,,,,
INV210,15-06-2026,C,Nashik,Grocery,Tea,6,170,UPI,Member,Male,5.0,JUN,1020,,,,,
INV211,16-03-2026,C,Nashik,Stationery,Diary,5,230,Card,Member,Male,3.2,MAR,1150,,,,,
INV212,08-03-2026,B,Pune,Home & Kitchen,Cushion,6,630,Net Banking,Normal,Male,3.6,MAR,3780,,,,,
INV213,25-03-2026,C,Nashik,Stationery,Marker Set,2,150,Card,Member,Female,3.4,MAR,300,,,,,
INV214,21-01-2026,A,Mumbai,Stationery,Pen Pack,5,70,UPI,Member,Female,3.7,JAN,350,,,,,
INV215,08-05-2026,E,Nagpur,Grocery,Sugar,3,50,UPI,Normal,Female,4.5,MAY,150,,,,,
INV216,11-02-2026,B,Pune,Home & Kitchen,Bedsheet,1,1260,UPI,Normal,Male,3.0,FEB,1260,,,,,
INV217,09-06-2026,B,Pune,Grocery,Sugar,5,50,Cash,Normal,Female,3.1,JUN,250,,,,,
INV218,17-02-2026,C,Nashik,Beauty,Face Wash,1,240,UPI,Normal,Female,3.6,FEB,240,,,,,
INV219,23-04-2026,E,Nagpur,Stationery,Marker Set,1,140,Card,Normal,Female,3.9,APR,140,,,,,
INV220,12-06-2026,C,Nashik,Beauty,Hair Oil,1,200,Net Banking,Normal,Male,3.6,JUN,200,,,,,
INV221,31-01-2026,B,Pune,Home & Kitchen,Storage Box,1,420,UPI,Member,Female,3.7,JAN,420,,,,,
INV222,16-06-2026,B,Pune,Beauty,Shampoo,4,410,UPI,Member,Female,4.4,JUN,1640,,,,,
INV223,23-02-2026,A,Mumbai,Clothing,T-Shirt,6,640,UPI,Normal,Male,3.2,FEB,3840,,,,,
INV224,28-06-2026,A,Mumbai,Grocery,Cooking Oil,3,150,Cash,Normal,Female,4.1,JUN,450,,,,,
INV225,10-04-2026,C,Nashik,Home & Kitchen,Mixer Grinder,6,3170,Card,Normal,Male,3.5,APR,19020,,,,,
INV226,13-05-2026,A,Mumbai,Stationery,File Folder,4,70,Card,Normal,Male,3.2,MAY,280,,,,,
INV227,24-05-2026,C,Nashik,Stationery,Marker Set,4,140,UPI,Normal,Male,3.4,MAY,560,,,,,
INV228,25-05-2026,E,Nagpur,Home & Kitchen,Mixer Grinder,5,3130,Card,Member,Female,3.7,MAY,15650,,,,,
